Id,Datum,Thuis,Uit,Minuut,Soort,Speler
132,1957-02-03,Rapid JC,Fortuna '54,65,penalty,Bart  Carlier
304,1957-02-17,Elinkwijk,VVV,8,doelpunt,Hay  Lamberts
304,1957-02-17,Elinkwijk,VVV,46,doelpunt,Evert-Jan  Vonk
304,1957-02-17,Elinkwijk,VVV,62,doelpunt,Herman  Teeuwen
304,1957-02-17,Elinkwijk,VVV,69,doelpunt,Bertus van Beek
119,1956-12-02,Sparta,Feijenoord,35,doelpunt,Cor van der Gijp
119,1956-12-02,Sparta,Feijenoord,44,doelpunt,Cor van der Gijp
119,1956-12-02,Sparta,Feijenoord,58,doelpunt,Cor van der Gijp
119,1956-12-02,Sparta,Feijenoord,63,doelpunt,Cor van der Gijp
73,1957-03-03,NAC,EVV Eindhoven,68,doelpunt,Huub  Tielens
289,1956-09-09,EVV Eindhoven,VVV,15,doelpunt,Jozef  Theuws
289,1956-09-09,EVV Eindhoven,VVV,71,doelpunt,Faas  Wilkes
111,1957-02-03,Willem II,BVV,3,doelpunt,Gerrit de Wit
236,1956-10-07,Fortuna '54,Feijenoord,39,doelpunt,Gerard  Kerkum
236,1956-10-07,Fortuna '54,Feijenoord,41,doelpunt,Bram  Appel
236,1956-10-07,Fortuna '54,Feijenoord,49,doelpunt,Bram  Appel
236,1956-10-07,Fortuna '54,Feijenoord,73,doelpunt,Cor van der Gijp
236,1956-10-07,Fortuna '54,Feijenoord,84,doelpunt,Wim  Huis
61,1956-12-02,NAC,Willem II,30,doelpunt,Jan van Roessel
61,1956-12-02,NAC,Willem II,61,doelpunt,Cock  Luyten
61,1956-12-02,NAC,Willem II,84,doelpunt,Leo  Canjels
276,1956-12-30,Elinkwijk,BVC Amsterdam,65,doelpunt,Henk van der Sluis
276,1956-12-30,Elinkwijk,BVC Amsterdam,71,doelpunt,Aad  Baselaar
199,1956-09-02,Ajax,NAC,10,doelpunt,Loek den Edel
130,1956-09-09,Rapid JC,PSV,7,doelpunt,Theo  Buenen
130,1956-09-09,Rapid JC,PSV,85,doelpunt,Johan  Adang
130,1956-09-09,Rapid JC,PSV,87,doelpunt,Huub  Janssen
