Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
10-08-1969,SVV,DOS,4,2,Gewonnen
10-08-1969,GVAV,Ajax,1,3,Verloren
10-08-1969,AFC DWS,NAC Breda,0,1,Verloren
10-08-1969,Sparta Rotterdam,HFC Haarlem,1,1,Gelijk
10-08-1969,ADO Den Haag,FC Twente,4,1,Gewonnen
10-08-1969,N.E.C.,AZ,1,0,Gewonnen
10-08-1969,Telstar,Feyenoord,1,3,Verloren
10-08-1969,Go Ahead Eagles,Holland Sport,1,2,Verloren
10-08-1969,MVV Maastricht,PSV,1,1,Gelijk
17-08-1969,Ajax,Go Ahead Eagles,2,0,Gewonnen
17-08-1969,Feyenoord,GVAV,3,0,Gewonnen
17-08-1969,Holland Sport,SVV,2,1,Gewonnen
17-08-1969,N.E.C.,Sparta Rotterdam,2,4,Verloren
17-08-1969,Telstar,PSV,0,1,Verloren
17-08-1969,HFC Haarlem,ADO Den Haag,2,0,Gewonnen
17-08-1969,DOS,NAC Breda,0,2,Verloren
17-08-1969,AZ,MVV Maastricht,0,0,Gelijk
23-08-1969,SVV,PSV,2,1,Gewonnen
24-08-1969,ADO Den Haag,Holland Sport,1,1,Gelijk
24-08-1969,GVAV,N.E.C.,0,1,Verloren
24-08-1969,AFC DWS,DOS,1,0,Gewonnen
24-08-1969,Sparta Rotterdam,Ajax,2,4,Verloren
24-08-1969,NAC Breda,Feyenoord,0,4,Verloren
24-08-1969,Telstar,FC Twente,2,0,Gewonnen
24-08-1969,Go Ahead Eagles,AZ,1,0,Gewonnen
24-08-1969,MVV Maastricht,HFC Haarlem,1,1,Gelijk
26-08-1969,FC Twente,AFC DWS,5,1,Gewonnen
31-08-1969,Ajax,N.E.C.,2,1,Gewonnen
31-08-1969,Holland Sport,MVV Maastricht,2,1,Gewonnen
31-08-1969,Feyenoord,AFC DWS,3,2,Gewonnen
31-08-1969,PSV,ADO Den Haag,3,1,Gewonnen
31-08-1969,FC Twente,SVV,1,0,Gewonnen
31-08-1969,DOS,Telstar,0,1,Verloren
31-08-1969,NAC Breda,GVAV,2,0,Gewonnen
31-08-1969,AZ,Sparta Rotterdam,0,1,Verloren
31-08-1969,HFC Haarlem,Go Ahead Eagles,1,1,Gelijk
07-09-1969,MVV Maastricht,DOS,2,0,Gewonnen
12-09-1969,PSV,Go Ahead Eagles,4,1,Gewonnen
14-09-1969,Feyenoord,SVV,6,0,Gewonnen
14-09-1969,AFC DWS,GVAV,1,2,Verloren
14-09-1969,Holland Sport,Sparta Rotterdam,2,3,Verloren
14-09-1969,NAC Breda,Telstar,1,0,Gewonnen
14-09-1969,FC Twente,MVV Maastricht,2,0,Gewonnen
14-09-1969,AZ,Ajax,0,1,Verloren
14-09-1969,HFC Haarlem,N.E.C.,2,1,Gewonnen
14-09-1969,DOS,ADO Den Haag,1,1,Gelijk
21-09-1969,Sparta Rotterdam,PSV,1,2,Verloren
21-09-1969,ADO Den Haag,Feyenoord,0,2,Verloren
21-09-1969,SVV,NAC Breda,1,1,Gelijk
21-09-1969,Ajax,HFC Haarlem,4,0,Gewonnen
21-09-1969,GVAV,AZ,4,1,Gewonnen
21-09-1969,Telstar,AFC DWS,0,1,Verloren
21-09-1969,N.E.C.,Holland Sport,3,1,Gewonnen
21-09-1969,Go Ahead Eagles,FC Twente,1,1,Gelijk
28-09-1969,Holland Sport,Ajax,1,4,Verloren
28-09-1969,Feyenoord,MVV Maastricht,5,1,Gewonnen
28-09-1969,AFC DWS,SVV,3,2,Gewonnen
28-09-1969,PSV,N.E.C.,2,2,Gelijk
28-09-1969,DOS,Go Ahead Eagles,2,3,Verloren
28-09-1969,NAC Breda,ADO Den Haag,0,2,Verloren
28-09-1969,HFC Haarlem,AZ,0,0,Gelijk
28-09-1969,FC Twente,Sparta Rotterdam,2,0,Gewonnen
28-09-1969,Telstar,GVAV,1,1,Gelijk
05-10-1969,Ajax,PSV,3,0,Gewonnen
05-10-1969,Sparta Rotterdam,DOS,0,0,Gelijk
05-10-1969,SVV,Telstar,1,3,Verloren
05-10-1969,ADO Den Haag,AFC DWS,1,1,Gelijk
05-10-1969,GVAV,HFC Haarlem,0,2,Verloren
05-10-1969,N.E.C.,FC Twente,1,1,Gelijk
05-10-1969,MVV Maastricht,NAC Breda,0,0,Gelijk
05-10-1969,AZ,Holland Sport,1,1,Gelijk
05-10-1969,Go Ahead Eagles,Feyenoord,0,1,Verloren
11-10-1969,SVV,GVAV,1,1,Gelijk
12-10-1969,AFC DWS,MVV Maastricht,0,1,Verloren
12-10-1969,Holland Sport,HFC Haarlem,0,1,Verloren
12-10-1969,Feyenoord,Sparta Rotterdam,1,1,Gelijk
12-10-1969,FC Twente,Ajax,0,3,Verloren
12-10-1969,NAC Breda,Go Ahead Eagles,2,0,Gewonnen
12-10-1969,DOS,N.E.C.,1,0,Gewonnen
12-10-1969,Telstar,ADO Den Haag,1,2,Verloren
12-10-1969,PSV,AZ,7,2,Gewonnen
26-10-1969,Sparta Rotterdam,NAC Breda,1,2,Verloren
26-10-1969,GVAV,Holland Sport,0,2,Verloren
26-10-1969,ADO Den Haag,SVV,5,0,Gewonnen
26-10-1969,Ajax,DOS,4,0,Gewonnen
26-10-1969,Go Ahead Eagles,AFC DWS,1,0,Gewonnen
26-10-1969,N.E.C.,Feyenoord,0,2,Verloren
26-10-1969,HFC Haarlem,PSV,0,1,Verloren
26-10-1969,AZ,FC Twente,0,1,Verloren
26-10-1969,MVV Maastricht,Telstar,0,0,Gelijk
02-11-1969,ADO Den Haag,GVAV,1,0,Gewonnen
02-11-1969,SVV,MVV Maastricht,3,7,Verloren
02-11-1969,AFC DWS,Sparta Rotterdam,0,2,Verloren
02-11-1969,Feyenoord,Ajax,1,0,Gewonnen
02-11-1969,DOS,AZ,0,2,Verloren
02-11-1969,Telstar,Go Ahead Eagles,1,1,Gelijk
02-11-1969,FC Twente,HFC Haarlem,1,0,Gewonnen
02-11-1969,PSV,Holland Sport,4,1,Gewonnen
02-11-1969,NAC Breda,N.E.C.,0,0,Gelijk
07-11-1969,GVAV,PSV,0,3,Verloren
09-11-1969,Sparta Rotterdam,Telstar,3,2,Gewonnen
09-11-1969,Ajax,NAC Breda,2,1,Gewonnen
09-11-1969,Holland Sport,FC Twente,3,1,Gewonnen
09-11-1969,N.E.C.,AFC DWS,1,0,Gewonnen
09-11-1969,HFC Haarlem,DOS,0,0,Gelijk
09-11-1969,MVV Maastricht,ADO Den Haag,2,2,Gelijk
09-11-1969,Go Ahead Eagles,SVV,1,0,Gewonnen
16-11-1969,SVV,Sparta Rotterdam,2,2,Gelijk
16-11-1969,ADO Den Haag,Go Ahead Eagles,0,0,Gelijk
16-11-1969,Feyenoord,HFC Haarlem,4,0,Gewonnen
16-11-1969,AFC DWS,Ajax,0,2,Verloren
16-11-1969,MVV Maastricht,GVAV,2,0,Gewonnen
16-11-1969,Telstar,N.E.C.,0,1,Verloren
16-11-1969,FC Twente,PSV,1,1,Gelijk
16-11-1969,DOS,Holland Sport,0,1,Verloren
16-11-1969,NAC Breda,AZ,2,2,Gelijk
21-11-1969,PSV,DOS,1,0,Gewonnen
22-11-1969,Holland Sport,Feyenoord,0,0,Gelijk
23-11-1969,Ajax,Telstar,4,1,Gewonnen
23-11-1969,GVAV,FC Twente,0,0,Gelijk
23-11-1969,Sparta Rotterdam,ADO Den Haag,1,2,Verloren
23-11-1969,AZ,AFC DWS,3,1,Gewonnen
23-11-1969,N.E.C.,SVV,4,0,Gewonnen
23-11-1969,Go Ahead Eagles,MVV Maastricht,3,3,Gelijk
23-11-1969,HFC Haarlem,NAC Breda,2,1,Gewonnen
30-11-1969,SVV,Ajax,0,6,Verloren
30-11-1969,ADO Den Haag,N.E.C.,0,0,Gelijk
30-11-1969,AFC DWS,HFC Haarlem,1,1,Gelijk
