Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,26,4,4,82,117,42,75
PSV,34,24,3,7,75,81,38,43
AZ,34,21,5,8,68,74,40,34
HFC Haarlem,34,17,8,9,59,57,41,16
FC Utrecht,34,17,5,12,56,56,38,18
FC Groningen,34,14,9,11,51,68,58,10
Roda JC Kerkrade,34,15,6,13,51,60,53,7
Feyenoord,34,13,12,9,51,61,59,2
Sparta Rotterdam,34,13,10,11,49,61,48,13
Go Ahead Eagles,34,13,9,12,48,58,49,9
NAC Breda,34,12,9,13,45,42,48,-6
FC Twente,34,13,5,16,44,50,58,-8
N.E.C.,34,11,8,15,41,41,62,-21
Willem II,34,10,7,17,37,50,64,-14
PEC Zwolle,34,8,10,16,34,45,69,-24
MVV Maastricht,34,6,11,17,29,35,70,-35
ADO Den Haag,34,4,5,25,17,29,82,-53
De Graafschap,34,3,6,25,15,29,95,-66
