Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,28,4,2,88,102,23,79
PSV,34,21,9,4,72,74,35,39
AZ,34,21,8,5,71,75,41,34
Vitesse,34,18,7,9,61,52,38,14
Feyenoord,34,16,11,7,59,64,36,28
FC Utrecht,34,13,14,7,53,52,41,11
FC Groningen,34,14,8,12,50,40,37,3
Sparta Rotterdam,34,13,8,13,47,49,48,1
Heracles Almelo,34,12,8,14,44,42,53,-11
FC Twente,34,10,11,13,41,48,50,-2
Fortuna Sittard,34,12,5,17,41,50,58,-8
sc Heerenveen,34,9,12,13,39,43,49,-6
PEC Zwolle,34,9,11,14,38,44,53,-9
Willem II,34,8,7,19,31,40,68,-28
RKC Waalwijk,34,7,9,18,30,33,55,-22
FC Emmen,34,7,9,18,30,40,68,-28
VVV-Venlo,34,6,5,23,23,43,91,-48
ADO Den Haag,34,4,10,20,22,29,76,-47
